"";"id";"name_market";"code_ticker";"code_symbol";"name_company";"code_isin";"date_lastTrade";"flag_active"
"212";215;"Euronext Growth Milan";"WART28.MI";"WART28";"W DEOD GALLE 23-28";"IT0005528929";2023-12-05;TRUE
"213";216;"Euronext Growth Milan";"WDIT24.MI";"WDIT24";"W DESTIN ITA 21-24";"IT0005454001";2023-12-05;TRUE
"214";217;"Euronext Growth Milan";"WELES.MI";"WELES";"W ELES 19-26";"IT0005374258";2023-12-05;TRUE
"215";218;"Euronext Growth Milan";"WEPRB.MI";"WEPRB";"W EPRCOMUNIC 22-25";"IT0005519795";2023-05-15;FALSE
"216";219;"Euronext Growth Milan";"WERFO.MI";"WERFO";"W ERFO 22-25";"IT0005497836";2023-11-24;TRUE
"217";220;"Euronext Growth Milan";"WFAE25.MI";"WFAE25";"W FAE TECH 22-25";"IT0005500639";2023-12-05;TRUE
"218";221;"Euronext Growth Milan";"WCOSMO.MI";"WCOSMO";"W FARMACOSMO 22-25";"IT0005487415";2023-12-01;TRUE
"219";222;"Euronext Growth Milan";"WFTC24.MI";"WFTC24";"W FIN TECH 21-24";"IT0005475147";2023-12-05;TRUE
"220";223;"Euronext Growth Milan";"WFCH25.MI";"WFCH25";"W FRANCHETTI 22-25";"IT0005508558";2023-12-05;TRUE
"221";224;"Euronext Growth Milan";"WFUM.MI";"WFUM";"W FRANCHI U MARMI";"IT0005335739";2023-11-28;TRUE
"222";225;"Euronext Growth Milan";"WGSR24.MI";"WGSR24";"W G RENT 21-24";"IT0005445074";2023-11-16;TRUE
"223";226;"Euronext Growth Milan";"WGML25.MI";"WGML25";"W G.M. LEATH 22-25";"IT0005498602";2023-11-21;TRUE
"224";227;"Euronext Growth Milan";"WGIS24.MI";"WGIS24";"W GISMONDI 19-24";"IT0005391104";2023-12-01;TRUE
"225";228;"Euronext Growth Milan";"WHQF25.MI";"WHQF25";"W H Q FOOD 22-25";"IT0005496796";2023-07-07;FALSE
"226";229;"Euronext Growth Milan";"WIDNTT.MI";"WIDNTT";"W IDNTT 21-24";"CH1120637330";2023-11-17;TRUE
"227";230;"Euronext Growth Milan";"WMPT25.MI";"WMPT25";"W IMPIANTI 22-25";"IT0005518938";2023-11-23;TRUE
"228";231;"Euronext Growth Milan";"WIMP25.MI";"WIMP25";"W IMPRENDIR 22-25";"IT0005500555";2023-11-28;TRUE
"229";232;"Euronext Growth Milan";"WINC26.MI";"WINC26";"W INNOVATEC 23-26";"IT0005568305";2023-12-05;TRUE
"230";233;"Euronext Growth Milan";"WICC24.MI";"WICC24";"W INT CARE C 21-24";"IT0005469330";2023-09-04;FALSE
"231";234;"Euronext Growth Milan";"WISC24.MI";"WISC24";"W ISCC FINTE 21-24";"IT0005474124";2023-11-29;TRUE
"232";235;"Euronext Growth Milan";"WIVN26.MI";"WIVN26";"W IVISION 23-26";"IT0005554776";2023-12-04;TRUE
"233";236;"Euronext Growth Milan";"WLDB24.MI";"WLDB24";"W LINDBERGH 21-24";"IT0005469207";2023-11-30;TRUE
"234";237;"Euronext Growth Milan";"WMAPS.MI";"WMAPS";"W MAPS 19-24";"IT0005364325";2023-12-05;TRUE
"235";238;"Euronext Growth Milan";"WMQSPA.MI";"WMQSPA";"W MEGLIOQUES 21-25";"IT0005450207";2023-12-05;TRUE
"236";239;"Euronext Growth Milan";"WMTS24.MI";"WMTS24";"W MIT SIM 22-24";"IT0005473050";2023-05-25;FALSE
"237";240;"Euronext Growth Milan";"WNUS24.MI";"WNUS24";"W NUSCO 21-24";"IT0005453086";2023-12-05;TRUE
"238";241;"Euronext Growth Milan";"WOSA25.MI";"WOSA25";"W OSAI 2020-2025";"IT0005424822";2023-11-17;TRUE
"239";242;"Euronext Growth Milan";"WPOZ27.MI";"WPOZ27";"W POZZI MI 22-2027";"IT0005499923";2023-12-04;TRUE
"240";243;"Euronext Growth Milan";"WRDF25.MI";"WRDF25";"W REDELFI 22-25";"IT0005496028";2023-12-05;TRUE
"241";244;"Euronext Growth Milan";"WRFLTC.MI";"WRFLTC";"W REDFISH 23-25";"IT0005549347";2023-11-22;TRUE
"242";245;"Euronext Growth Milan";"WRKT25.MI";"WRKT25";"W ROCKET S C 22-25";"IT0005481822";2023-12-04;TRUE
"243";246;"Euronext Growth Milan";"WSIF24.MI";"WSIF24";"W S.I.F. ITA 21-24";"IT0005468282";2023-12-01;TRUE
"244";247;"Euronext Growth Milan";"WSAC25.MI";"WSAC25";"W SAC F FRAN 22-25";"IT0005521536";2023-12-05;TRUE
"245";248;"Euronext Growth Milan";"WSGC27.MI";"WSGC27";"W SG COMPANY 18-27";"IT0005347593";2023-12-05;TRUE
"246";249;"Euronext Growth Milan";"WSIAV.MI";"WSIAV";"W SIAV 2022-2025";"IT0005504094";2023-11-22;TRUE
"247";250;"Euronext Growth Milan";"WSBCA.MI";"WSBCA";"W SICILY BY CAR A";"IT0005556532";2023-12-04;TRUE
"248";251;"Euronext Growth Milan";"WSBCB.MI";"WSBCB";"W SICILY BY CAR B";"IT0005556599";2023-11-24;TRUE
"249";252;"Euronext Growth Milan";"WSBCC.MI";"WSBCC";"W SICILY BY CAR C";"IT0005556607";2023-11-27;TRUE
"250";253;"Euronext Growth Milan";"WSOS24.MI";"WSOS24";"W SOST.COM 21-24";"IT0005446718";2023-12-05;TRUE
"251";254;"Euronext Growth Milan";"WSVS24.MI";"WSVS24";"W SVAS BIOSA 21-24";"IT0005469157";2023-11-09;TRUE
"252";255;"Euronext Growth Milan";"WTKF24.MI";"WTKF24";"W TAKE OFF 22-24";"IT0005467474";2023-11-22;TRUE
"253";256;"Euronext Growth Milan";"WTMP25.MI";"WTMP25";"W TMP GROUP 23-25";"IT0005531253";2023-11-10;TRUE
"254";257;"Euronext Growth Milan";"WTWL24.MI";"WTWL24";"W TRAWELL CO 21-24";"IT0005446726";2023-12-04;TRUE
"255";258;"Euronext Growth Milan";"WUBM26.MI";"WUBM26";"W ULISSE BIO 21-26";"IT0005453789";2023-12-05;TRUE
"256";259;"Euronext Growth Milan";"WS3D25.MI";"WS3D25";"WA SOLID W G 22-25";"IT0005498420";2023-12-05;TRUE
"257";260;"Euronext Growth Milan";"WAGU26.MI";"WAGU26";"WARR ARRAS 23-26";"IT0005540643";NA;NA
"258";261;"Euronext Growth Milan";"WDOT25.MI";"WDOT25";"WARR DOTSTAY 22-25";"IT0005523821";2023-08-02;FALSE
"259";262;"Euronext Growth Milan";"WEGB26.MI";"WEGB26";"WARR E-GLOBE 23-26";"IT0005557472";2023-10-16;FALSE
"260";263;"Euronext Growth Milan";"WEXE26.MI";"WEXE26";"WARR EXECUS 23-26";"IT0005557498";2023-11-30;TRUE
"261";264;"Euronext Growth Milan";"WMGS.MI";"WMGS";"WARR MAGIS";"IT0005525321";2023-11-20;TRUE
"262";265;"Euronext Growth Milan";"WCFL24.MI";"WCFL24";"WCOFLE 21-24";"IT0005465635";2023-10-02;FALSE
"263";266;"Euronext Growth Milan";"WBS.MI";"WBS";"WEBSOLUTE";"IT0005384901";2023-12-05;TRUE
"264";267;"Euronext Growth Milan";"WPSQ26.MI";"WPSQ26";"WPASQUARELLI 23-26";"IT0005546301";2023-11-24;TRUE
"265";268;"Euronext Growth Milan";"WPRM25.MI";"WPRM25";"WPRISMI 2018-2025";"IT0005326613";2023-11-29;TRUE
"266";269;"Euronext Growth Milan";"XHS.MI";"XHS";"XENIA";"IT0005568487";2023-11-06;FALSE
"267";270;"Euronext Growth Milan";"YOLO.MI";"YOLO";"YOLO GROUP";"IT0005495871";2023-12-01;TRUE
